title,text,subject,date
Fact Check: Medical discoveries verified by independent experts.,Fact Check: Medical discoveries verified by independent experts. Climate change Medical discoveries Global warming Global warming COVID-19 vaccine,News,2024-03-30
Reuters: Space exploration has been confirmed by multiple sources.,Reuters: Space exploration has been confirmed by multiple sources. Scientific research Space exploration Moon landing Global warming Space exploration,News,2024-03-30
Confirmed: Global warming as reported by verified sources.,Confirmed: Global warming as reported by verified sources. Space exploration Global warming Medical discoveries Scientific research Vaccination safety,News,2024-03-30
Confirmed: Climate change as reported by verified sources.,Confirmed: Climate change as reported by verified sources. Medical discoveries Climate change Scientific research Evolution theory Earth shape,News,2024-03-30
Reuters: Moon landing has been confirmed by multiple sources.,Reuters: Moon landing has been confirmed by multiple sources. Space exploration Climate change Earth shape Evolution theory Vaccination safety,News,2024-03-30
Study Shows: Scientific research according to peer-reviewed research.,Study Shows: Scientific research according to peer-reviewed research. Medical discoveries Moon landing Climate change Medical discoveries Medical discoveries,News,2024-03-30
Confirmed: Medical discoveries as reported by verified sources.,Confirmed: Medical discoveries as reported by verified sources. Vaccination safety Earth shape Global warming Moon landing Climate change,News,2024-03-30
Reuters: COVID-19 vaccine has been confirmed by multiple sources.,Reuters: COVID-19 vaccine has been confirmed by multiple sources. Vaccination safety Earth shape Earth shape Space exploration Moon landing,News,2024-03-30
Reuters: Global warming has been confirmed by multiple sources.,Reuters: Global warming has been confirmed by multiple sources. Evolution theory Moon landing Scientific research Scientific research Evolution theory,News,2024-03-30
Official Report: COVID-19 vaccine findings released by government agency.,Official Report: COVID-19 vaccine findings released by government agency. Evolution theory Vaccination safety Global warming Evolution theory Scientific research,News,2024-03-30
Official Report: Earth shape findings released by government agency.,Official Report: Earth shape findings released by government agency. Scientific research Evolution theory COVID-19 vaccine Medical discoveries Space exploration,News,2024-03-30
Reuters: Moon landing has been confirmed by multiple sources.,Reuters: Moon landing has been confirmed by multiple sources. Earth shape Evolution theory Space exploration Moon landing COVID-19 vaccine,News,2024-03-30
Official Report: Global warming findings released by government agency.,Official Report: Global warming findings released by government agency. Scientific research Vaccination safety Space exploration Space exploration Scientific research,News,2024-03-30
Confirmed: Scientific research as reported by verified sources.,Confirmed: Scientific research as reported by verified sources. Climate change Space exploration Medical discoveries Medical discoveries Global warming,News,2024-03-30
Study Shows: Vaccination safety according to peer-reviewed research.,Study Shows: Vaccination safety according to peer-reviewed research. Evolution theory Evolution theory COVID-19 vaccine Scientific research Scientific research,News,2024-03-30
Fact Check: Global warming verified by independent experts.,Fact Check: Global warming verified by independent experts. Space exploration Vaccination safety Evolution theory Space exploration Medical discoveries,News,2024-03-30
Fact Check: Climate change verified by independent experts.,Fact Check: Climate change verified by independent experts. Medical discoveries Medical discoveries Scientific research Earth shape COVID-19 vaccine,News,2024-03-30
Study Shows: Medical discoveries according to peer-reviewed research.,Study Shows: Medical discoveries according to peer-reviewed research. Climate change Scientific research Evolution theory Medical discoveries Space exploration,News,2024-03-30
Reuters: Medical discoveries has been confirmed by multiple sources.,Reuters: Medical discoveries has been confirmed by multiple sources. Evolution theory Scientific research Vaccination safety Global warming Vaccination safety,News,2024-03-30
Study Shows: Earth shape according to peer-reviewed research.,Study Shows: Earth shape according to peer-reviewed research. Earth shape Medical discoveries Moon landing Climate change Climate change,News,2024-03-30
Reuters: Climate change has been confirmed by multiple sources.,Reuters: Climate change has been confirmed by multiple sources. Climate change Moon landing Global warming Climate change Earth shape,News,2024-03-30
Reuters: Scientific research has been confirmed by multiple sources.,Reuters: Scientific research has been confirmed by multiple sources. Climate change Evolution theory Vaccination safety Global warming COVID-19 vaccine,News,2024-03-30
Reuters: Scientific research has been confirmed by multiple sources.,Reuters: Scientific research has been confirmed by multiple sources. Climate change Scientific research Earth shape Global warming Medical discoveries,News,2024-03-30
Fact Check: COVID-19 vaccine verified by independent experts.,Fact Check: COVID-19 vaccine verified by independent experts. Vaccination safety Climate change Vaccination safety Global warming Medical discoveries,News,2024-03-30
Reuters: Vaccination safety has been confirmed by multiple sources.,Reuters: Vaccination safety has been confirmed by multiple sources. Space exploration Vaccination safety Scientific research Scientific research Space exploration,News,2024-03-30
Reuters: Space exploration has been confirmed by multiple sources.,Reuters: Space exploration has been confirmed by multiple sources. Climate change Evolution theory Moon landing COVID-19 vaccine Climate change,News,2024-03-30
Reuters: Climate change has been confirmed by multiple sources.,Reuters: Climate change has been confirmed by multiple sources. Evolution theory Global warming Climate change Global warming Moon landing,News,2024-03-30
Fact Check: Moon landing verified by independent experts.,Fact Check: Moon landing verified by independent experts. Global warming Earth shape Vaccination safety Earth shape Climate change,News,2024-03-30
Fact Check: Vaccination safety verified by independent experts.,Fact Check: Vaccination safety verified by independent experts. Space exploration Earth shape Space exploration Vaccination safety Global warming,News,2024-03-30
Reuters: Global warming has been confirmed by multiple sources.,Reuters: Global warming has been confirmed by multiple sources. Climate change Space exploration Earth shape Evolution theory Earth shape,News,2024-03-30
Confirmed: Space exploration as reported by verified sources.,Confirmed: Space exploration as reported by verified sources. Earth shape Earth shape Vaccination safety Space exploration Climate change,News,2024-03-30
Fact Check: Scientific research verified by independent experts.,Fact Check: Scientific research verified by independent experts. Scientific research Evolution theory Vaccination safety COVID-19 vaccine Scientific research,News,2024-03-30
Study Shows: Global warming according to peer-reviewed research.,Study Shows: Global warming according to peer-reviewed research. Moon landing Climate change Evolution theory Global warming Climate change,News,2024-03-30
Fact Check: Space exploration verified by independent experts.,Fact Check: Space exploration verified by independent experts. Global warming Moon landing Medical discoveries Climate change Scientific research,News,2024-03-30
Confirmed: Earth shape as reported by verified sources.,Confirmed: Earth shape as reported by verified sources. Moon landing Climate change Vaccination safety Moon landing Evolution theory,News,2024-03-30
Reuters: Evolution theory has been confirmed by multiple sources.,Reuters: Evolution theory has been confirmed by multiple sources. Evolution theory Climate change Earth shape Moon landing Earth shape,News,2024-03-30
Reuters: Moon landing has been confirmed by multiple sources.,Reuters: Moon landing has been confirmed by multiple sources. COVID-19 vaccine Climate change Scientific research Global warming Space exploration,News,2024-03-30
Reuters: Global warming has been confirmed by multiple sources.,Reuters: Global warming has been confirmed by multiple sources. Vaccination safety Vaccination safety Scientific research Scientific research Climate change,News,2024-03-30
Official Report: Moon landing findings released by government agency.,Official Report: Moon landing findings released by government agency. Space exploration Moon landing Vaccination safety Global warming Evolution theory,News,2024-03-30
Fact Check: Space exploration verified by independent experts.,Fact Check: Space exploration verified by independent experts. Global warming Space exploration Vaccination safety Earth shape Vaccination safety,News,2024-03-30
Official Report: Scientific research findings released by government agency.,Official Report: Scientific research findings released by government agency. Scientific research Vaccination safety Evolution theory Earth shape COVID-19 vaccine,News,2024-03-30
Confirmed: Global warming as reported by verified sources.,Confirmed: Global warming as reported by verified sources. Climate change Earth shape Vaccination safety Evolution theory Earth shape,News,2024-03-30
Fact Check: Evolution theory verified by independent experts.,Fact Check: Evolution theory verified by independent experts. Moon landing Scientific research COVID-19 vaccine Vaccination safety Evolution theory,News,2024-03-30
Confirmed: Evolution theory as reported by verified sources.,Confirmed: Evolution theory as reported by verified sources. Earth shape Evolution theory Global warming Moon landing Vaccination safety,News,2024-03-30
Fact Check: Space exploration verified by independent experts.,Fact Check: Space exploration verified by independent experts. Medical discoveries Moon landing Space exploration Vaccination safety Earth shape,News,2024-03-30
